"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.076963328E0,-1.083419099E-1,-1.257502101E-2,-2.269605160E0,2.272224391E0
4.096280320E0,-6.848568320E-1,9.206614643E-2,-6.875402451E0,6.910040804E0
4.115622656E0,-6.548129320E-1,1.413043290E-1,-5.753382206E0,5.792249451E0
4.134947192E0,-6.287392974E-2,1.513920072E-2,3.220292628E-1,3.284587836E-1
4.154264184E0,3.562425077E-1,-9.602480382E-2,5.701143742E0,5.713070055E0
4.173606776E0,3.516130447E-1,-1.032878906E-1,5.701540947E0,5.713306336E0
4.192923768E0,3.559526801E-1,3.574712574E-2,2.889703274E0,2.911763242E0
4.212240888E0,-2.105663717E-1,3.422015533E-2,-2.279437065E0,2.289397857E0
4.231583352E0,-4.999815673E-2,1.750850677E-2,-2.284893036E0,2.285507066E0
4.250900600E0,-5.253488421E-1,8.054029197E-2,-5.456897736E0,5.482719311E0
4.270217720E0,5.323274806E-2,-7.707579061E-3,3.829675317E-1,3.867263407E-1
4.289560184E0,3.858962059E-1,-2.497833036E-2,5.478559971E0,5.492190743E0
4.308877304E0,4.575471580E-1,5.878813937E-2,5.973051071E0,5.990838384E0
4.328194424E0,2.350685149E-1,5.459772889E-3,2.773809910E0,2.783757969E0
4.347511544E0,-2.242566347E-1,-7.926304825E-3,-2.347534895E0,2.358235346E0
4.366854008E0,-6.667652726E-1,9.819775820E-2,-6.411754608E0,6.447078089E0
4.386171128E0,-5.365591645E-1,9.527930617E-2,-5.143275261E0,5.172064800E0
4.405488120E0,4.957712069E-2,-7.961424999E-3,4.785152972E-1,4.811425618E-1
4.424830584E0,3.662650883E-1,-4.001068696E-2,5.273656368E0,5.286511370E0
4.444171579E0,4.290479422E-1,3.149277344E-2,5.740472794E0,5.756570318E0
4.463489083E0,2.019147426E-1,1.880910248E-2,2.664327383E0,2.672033636E0
4.482831931E0,-2.391486466E-1,-9.333951399E-3,-2.361099243E0,2.373198018E0
4.502149435E0,-6.620175242E-1,7.103419304E-2,-6.207212448E0,6.242819830E0
4.521467067E0,-5.983356833E-1,1.307376176E-1,-4.880633354E0,4.918910433E0
4.540818483E0,-5.894204602E-2,3.856924549E-2,5.533099771E-1,5.577756558E-1
4.560136115E0,3.157819510E-1,-4.544701055E-2,5.113164902E0,5.123108332E0
4.579453747E0,4.352267981E-1,-1.038950216E-2,5.531328201E0,5.548434192E0
4.598796851E0,2.730567455E-1,5.831036251E-3,2.494015932E0,2.508925957E0
4.618114611E0,-1.719222069E-1,3.756988421E-2,-2.391430855E0,2.397897053E0
4.637440374E0,-6.225168705E-1,1.088885218E-1,-5.988858700E0,6.022110302E0
4.656783606E0,-5.657925606E-1,9.049537778E-2,-4.621486664E0,4.656871226E0
4.676101494E0,-7.162996382E-2,-3.339510644E-3,6.213485599E-1,6.254726508E-1
4.695419382E0,3.102831841E-1,-3.320645168E-2,4.962679863E0,4.972481246E0
4.714737270E0,4.305882752E-1,2.978194319E-2,5.353579521E0,5.370950281E0
4.734085176E0,2.765016854E-1,1.812261902E-2,2.344001532E0,2.360323027E0
4.753403192E0,3.883997798E-1,1.532842591E-2,2.338466644E0,2.370551749E0
