Wavelength,150,187.5,300,375,750,1500,1875,3000,3750,7500,15000,Empty_cuvette,Nothing,Pure_water
470.396,141.318,143.126,148.719,139.058,135.442,134.369,115.834,109.334,117.416,122.898,110.295,205.869,151.487,183.398
470.747,140.132,149.058,151.092,138.55,138.493,126.401,121.429,115.438,105.547,123.067,119.281,204.344,153.351,182.382
471.098,149.454,154.142,148.889,136.177,131.883,124.028,125.836,104.416,104.021,125.78,119.959,200.28,159.113,174.419
471.449,158.944,149.058,151.939,142.957,131.544,114.873,142.618,112.556,105.038,123.915,115.551,198.756,156.402,166.795
471.8,169.619,148.211,153.803,147.872,129.34,123.011,144.991,109.164,102.834,134.595,120.976,195.876,157.249,162.389
472.151,172.33,157.532,154.142,148.211,127.136,109.786,139.058,120.863,100.968,127.645,129.283,200.619,154.707,149.68
472.502,181.478,149.058,159.396,148.55,124.593,123.859,120.072,119.507,108.09,132.222,122.502,205.869,156.232,156.119
472.853,171.991,145.499,152.448,161.768,124.254,124.198,120.242,123.406,113.516,128.831,121.994,215.183,161.486,156.797
473.204,168.772,144.313,149.058,154.142,125.949,137.42,111.764,124.424,112.838,120.524,123.35,215.86,159.791,163.745
473.555,159.452,139.058,148.719,154.82,130.187,141.827,109.899,123.745,106.734,119.338,122.672,214.675,170.635,167.134
473.906,161.147,131.939,148.041,146.347,130.187,143.691,117.699,123.745,111.143,115.099,121.146,217.553,183.172,178.485
474.257,161.147,119.224,148.55,147.024,124.763,134.708,131.261,121.881,106.734,115.099,111.312,211.288,189.101,176.96
474.607,166.399,126.854,158.04,145.16,126.458,135.216,134.482,126.627,115.721,120.185,107.582,207.223,185.205,180.01
474.958,167.924,133.465,166.173,145.33,122.898,123.011,135.668,129.848,113.855,124.424,105.716,217.045,190.117,172.047
475.309,178.09,140.753,161.26,144.821,131.035,115.042,136.177,135.951,123.18,115.099,108.43,219.077,190.964,174.08
475.659,182.325,141.431,153.295,154.82,139.849,118.772,131.6,131.205,123.859,119.168,112.329,218.738,186.56,169.167
476.01,176.565,157.362,148.211,159.057,146.798,117.246,130.413,135.273,118.603,111.708,120.129,216.029,183.85,166.286
476.361,176.565,157.701,144.821,153.295,141.375,112.669,129.566,132.052,108.769,105.264,124.198,225.342,195.029,175.266
476.711,174.701,160.921,142.618,155.837,144.765,115.381,128.04,127.136,107.243,106.112,122.841,230.76,186.899,179.671
477.062,169.788,167.021,139.736,158.718,143.239,107.751,121.937,120.016,92.658,104.247,116.06,227.374,190.287,178.316
477.412,171.821,169.223,143.804,167.868,141.036,112.838,121.089,114.251,95.372,104.247,114.364,220.601,193.674,190.851
477.763,179.615,164.31,146.685,162.615,142.392,124.028,121.937,109.673,103.682,112.725,112.669,230.252,206.377,196.78
478.113,179.953,165.157,142.787,163.632,141.036,138.437,120.411,110.69,107.073,115.438,110.973,231.268,196.046,191.021
478.463,180.631,159.735,137.872,155.837,144.765,143.522,118.038,109.843,112.838,118.659,112.329,229.744,211.118,189.835
478.814,185.544,154.312,146.855,154.481,143.578,146.742,122.446,118.829,129.961,138.663,121.146,244.641,206.377,191.359
479.164,188.254,159.565,147.702,142.787,137.815,147.42,127.532,125.78,125.554,144.426,124.876,260.551,215.013,183.737
479.514,192.658,167.529,159.565,140.923,142.561,144.03,122.107,116.964,123.689,141.205,126.741,254.796,212.304,196.61
479.865,191.303,159.396,167.698,141.262,146.29,132.843,122.954,120.355,121.315,133.239,124.537,251.073,229.405,189.327
480.215,184.866,161.09,174.645,146.177,146.121,126.401,122.276,119.338,117.416,127.984,125.893,248.195,220.94,199.659
480.565,183.85,164.818,178.203,145.16,142.392,135.216,123.972,112.216,110.295,117.133,122.841,248.873,226.866,217.948
